freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,ENV,MIO_EUR,O,BG	8.81 	6.38 	7.6 	8.29 	9.52 	9.2 	9.41 	11.26 	10.87 	13.6 	11.49 
A,ENV,MIO_EUR,O,CH	198.21 	199.13 	247.29 	246.97 	251.32 	258.19 	269.9 	281.74 	291.78 	319.17 	332.98 p
A,ENV,MIO_EUR,O,CY	6.25 	6.47 	6.57 	6.16 	7.4 	7.77 	13.93 	13.31 	12.8 	11.54 	11.94 
A,ENV,MIO_EUR,O,CZ	48.02 	47.16 	36.98 	44.38 	44.41 	46.82 	46.57 	57.64 	47.26 	37.54 	39.6 
A,ENV,MIO_EUR,O,DE	1343.69 	1279.55 	1326.64 	994.65 	1075.44 	1052.46 	1050.61 be	1057.18 e	1130.94 e	804.6 e	709.76 bep
A,ENV,MIO_EUR,O,DK	160.35 	163.32 	137.55 	125.59 	144.95 	127.65 	120.04 	114.57 	113.26 	106.38 p	86.03 p
A,ENV,MIO_EUR,O,EE	8.09 	8.91 	10.81 	11.88 	8.35 	8.73 	10.1 	7.7 	8.41 	8.28 	8.07 
A,ENV,MIO_EUR,O,EL	141.9 	149.07 	138.22 	113.3 	122.1 	104.25 	97.11 	108.41 	100.71 	149.56 	115.12 
A,ENV,MIO_EUR,O,ES	185.46 	191.42 	226.69 	236.14 	247.07 	238.11 	208.74 	156.44 	219.69 	165.08 	186.72 
A,ENV,MIO_EUR,O,EU27_2020	4896.93 	4977.59 	4999.68 	: 	5006.99 	: 	: 	: 	: 	: 	: 
A,ENV,MIO_EUR,O,FI	143.42 	133.63 	106.82 b	132.91 b	143.49 	132.59 	142.83 	156.14 	129.46 	135.19 	54.58 
A,ENV,MIO_EUR,O,FR	785.13 e	793.99 e	845.25 e	796.72 e	929.3 e	1037.83 e	1101.39 e	1010.98 e	1145.91 e	1116.79 p	1091.99 p
A,ENV,MIO_EUR,O,HR	13.14 	14.57 	16.04 	16.79 	17.71 	19.27 	19.33 	17.61 	18.95 	19.54 	21.74 
A,ENV,MIO_EUR,O,HU	45.6 	48.55 	50.92 	37.06 	4.08 	8.3 	9.08 	11 	12.88 	14.33 	12.06 
A,ENV,MIO_EUR,O,IE	45.47 	43.49 	47.97 	50.9 	57.68 	63.79 	69.1 	69.58 	78.88 	61.77 	64.6 
A,ENV,MIO_EUR,O,IS	2.95 	2.72 	2.16 	2.77 	3.15 	3.34 	2.64 	: 	: 	: 	: 
A,ENV,MIO_EUR,O,IT	799.22 	925.16 	837.32 	941.85 	897.3 	916.06 	950.32 	966.42 	616.65 	229.58 	454.12 p
A,ENV,MIO_EUR,O,LT	7.93 	8.83 	12.09 	13.8 	10.77 	7.28 	6.59 	10.3 	8.66 	8.12 	8.49 
A,ENV,MIO_EUR,O,LU	2.53 	2.71 	2.36 	2.62 	2.4 	2.78 	3.09 	2.73 	3.42 	3.86 	3.94 
A,ENV,MIO_EUR,O,LV	13.83 	15.85 	17.73 	19.24 	48.36 	54.47 	51.16 	51.27 	52.06 	50.04 	53.87 
A,ENV,MIO_EUR,O,MK	: 	: 	: 	: 	: 	: 	3.83 	3.85 	4.18 	3.67 	: 
A,ENV,MIO_EUR,O,MT	0.74 	1.04 	1.29 	1.56 	1.5 	2.01 	2.26 	1.62 	1.58 	1.65 	1.72 
A,ENV,MIO_EUR,O,NL	357 	367 	380 	403 	408 	430 	465 	532 	555 	541 	550 p
A,ENV,MIO_EUR,O,NO	132.83 	142.08 	139.89 	145.85 	169.51 	151.5 	148.41 	136.62 	119.45 	165.6 	138.3 
A,ENV,MIO_EUR,O,PL	155.02 	158.95 	173.83 	152.92 	151.61 	155.65 	134.55 	124.93 	126.93 	118.78 	173.91 
A,ENV,MIO_EUR,O,PT	50.95 	49.13 	56.19 	64.9 	55 	57.25 	55.96 	57.91 	53.35 	48.08 	54.69 
A,ENV,MIO_EUR,O,RO	21.65 	28.98 	30.97 	26.68 	21.35 	28.61 	24.82 	19.69 	21.53 	18.58 	21.64 
A,ENV,MIO_EUR,O,RS	2.58 	2.59 	3.51 	4.14 	4.85 	5.17 	5.8 	5.46 	5.61 	6.45 	7.58 
A,ENV,MIO_EUR,O,SE	313.95 	288.41 	252.99 	255.19 	280.18 	287.57 	289.23 	283.06 	232.37 	215.65 	203.43 
A,ENV,MIO_EUR,O,SI	2.39 	2.42 	2.88 	: 	3.29 	: 	: 	: 	: 	: 	: 
A,ENV,MIO_EUR,O,SK	41.94 	36.68 	46.04 	39.94 	36.73 	37.32 	43.77 	51.49 	54.02 	13.82 p	16.05 ep
A,ENV,MIO_EUR,O,TR	215.19 	191.09 	205.65 	204.76 	186.94 	134.55 	116.54 	106.82 	42.44 	58.89 	85.89 
A,ENV,MIO_EUR,P,AT	17.4 	17.08 	18.7 	18.99 	18.67 	22.87 	23.76 	20.82 	26.56 	21.67 	20.65 
A,ENV,MIO_EUR,P,BE	37.6 	41.62 	51.63 	62.84 	70.27 	76.97 	77.28 	83.14 	86.89 	78.52 e	91.33 e
A,ENV,MIO_EUR,P,BG	3.94 	3.81 	4.38 	4.21 	5.02 	4.35 	4.94 	4.67 	4.95 	8.09 	5.49 
A,ENV,MIO_EUR,P,CH	6.99 	6.98 	8.76 	9.07 	9.17 	9.71 	10.5 	10.9 	11.3 	12.23 	12.8 p
A,ENV,MIO_EUR,P,CY	1.63 	1.6 	1.51 	1.97 	2.5 	2.62 	3.81 	3.31 	4.13 	3.16 	3.72 
A,ENV,MIO_EUR,P,CZ	6.39 	6.14 	7.66 	8.25 	8.28 	8.5 	8.96 	8.35 	8 	6.27 	6.54 
A,ENV,MIO_EUR,P,DE	192.82 	201.02 	179.32 	125.42 	145.69 	141.39 	679.78 be	701.73 e	889.06 e	497.3 e	397.46 bep
A,ENV,MIO_EUR,P,DK	170.5 	149.1 	135.19 	132.45 	133.19 	132.91 	86.64 	79.85 	64.26 	92.5 p	51.16 p
A,ENV,MIO_EUR,P,EE	3.12 	3.14 	4.24 	4.83 	4.53 	4.26 	4.44 	2.99 	3.4 	3.4 	3.33 
A,ENV,MIO_EUR,P,EL	37.02 	37.31 	35.43 	30.28 	32.12 	35.26 	34.78 	36.26 	24.59 	28.19 	23.08 
A,ENV,MIO_EUR,P,ES	59.76 	59.8 	74.26 	77.32 	83.16 	83.29 	78.89 	70.02 	81.57 	64.34 	76.41 
A,ENV,MIO_EUR,P,EU27_2020	1612.96 	1714.09 	1716 	1765.35 	1970.89 	2112.31 	2624.68 	2438.68 	2558.36 	1921.81 	1933.45 
A,ENV,MIO_EUR,P,FI	44.56 	42.89 	34.02 b	39.21 b	41.83 	47.63 	46.64 	45.7 	40.75 	48.46 	59.63 
A,ENV,MIO_EUR,P,FR	130.61 e	134.95 e	182.97 e	226.67 e	392.68 e	475.59 e	458.07 e	410.86 e	424.44 e	407.08 p	369.8 p
A,ENV,MIO_EUR,P,HR	5.37 	11.41 	12.76 	13.31 	14.27 	14.96 	15.21 	13.79 	14.48 	14.52 	15.19 
A,ENV,MIO_EUR,P,HU	5.78 	4.06 	3.78 	3.64 	12.1 	4.28 	5.04 	4.4 	4.56 	3.69 	6.09 
A,ENV,MIO_EUR,P,IE	13.11 	13.15 	16.27 	16.72 	18.44 	18.72 	12.5 	11.94 	18.58 	14.44 	14.38 
A,ENV,MIO_EUR,P,IS	0.22 	0.27 	0.36 	0.43 	0.53 	0.6 	0.5 	: 	: 	: 	: 
A,ENV,MIO_EUR,P,IT	465.51 	565.88 	519.36 	551.95 	532.3 	555.38 	612.54 	499.51 	361.53 	151.26 	252.75 p
A,ENV,MIO_EUR,P,LT	0.84 	0.94 	1.12 	1.24 	1.24 	1.15 	1.33 	1.46 	1.52 	1.48 	1.57 
A,ENV,MIO_EUR,P,LU	0.48 	0.52 	1.04 	0.68 	0.76 	1.3 	0.65 	0.46 	0.68 	0.71 	0.7 
A,ENV,MIO_EUR,P,LV	3.08 	3.3 	3.7 	3.98 	3.8 	4.05 	2.78 	2.18 	1.93 	1.77 	1.72 
A,ENV,MIO_EUR,P,MK	: 	: 	: 	: 	: 	: 	1.75 	1.22 	1.93 	1.96 	: 
A,ENV,MIO_EUR,P,MT	0.15 	0.25 	0.24 	0.25 	0.3 	0.37 	0.44 	0.39 	0.37 	0.38 	0.39 
A,ENV,MIO_EUR,P,NL	279 	276 	275 	289 	294 	313 	326 	309 	332 	338 	318 p
A,ENV,MIO_EUR,P,NO	42.66 	42.25 	39.33 	42.41 	46.53 	30.95 	27.71 	18.93 	33.06 	49.99 	47.53 
A,ENV,MIO_EUR,P,PL	66.23 	73.08 	80.56 	73.42 	76.29 	80.21 	50.74 	47.31 	85.69 	77.22 	150.08 
A,ENV,MIO_EUR,P,PT	17.88 	16.92 	18.67 	22.97 	21.9 	21.27 	22.57 	20.79 	17.77 	18.31 	20.38 
A,ENV,MIO_EUR,P,RO	11.04 	13.24 	14.17 	15.98 	13.82 	15.53 	14.21 	11.58 	12.89 	12.01 	12.02 
A,ENV,MIO_EUR,P,RS	1.63 	5.83 	3.34 	3.25 	5.74 	6.74 	6.3 	5.85 	6.11 	6.8 	8.97 
A,ENV,MIO_EUR,P,SE	24.64 	21.68 	24.04 	24.49 	27.44 	27.75 	29.69 	28.82 	29.96 	25.08 	27.94 
A,ENV,MIO_EUR,P,SI	1.35 	1.36 	1.68 	1.88 	2 	2.13 	2.17 	1.91 	2.05 	1.72 	1.55 
A,ENV,MIO_EUR,P,SK	13.18 	13.83 	14.34 	13.43 	14.29 	16.55 	20.82 	17.47 	15.76 	2.26 p	2.11 ep
A,ENV,MIO_EUR,P,TR	30.99 	27.68 	29.37 	28.48 	25.49 	20.17 	20.21 	17.63 	10.41 	14.52 	18.99 
A,ENV,MIO_EUR,Q86,AT	19.59 	16.53 	17.93 	15.04 	16.64 	18.76 	19.47 	17.56 	23.26 	17.35 	13.47 
A,ENV,MIO_EUR,Q86,BE	112.89 	111.12 	161.13 	186.48 	202.75 	205.15 	209.33 	226.74 	254.31 	230.78 e	272.45 e
A,ENV,MIO_EUR,Q86,BG	2.58 	2.35 	2.47 	2.41 	2.68 	2.45 	2.36 	2.45 	2.55 	5.04 	2.62 
A,ENV,MIO_EUR,Q86,CH	75.35 	73.05 	90.89 	89.74 	90.88 	94.98 	104.57 	114.19 	110.55 	123.11 	131.05 p
A,ENV,MIO_EUR,Q86,CY	1.03 	1.18 	1.39 	1.15 	1.8 	1.88 	2.53 	1.96 	2.02 	1.96 	2.06 
A,ENV,MIO_EUR,Q86,CZ	9.9 	9.08 	10.89 	13.02 	12.61 	12.48 	13.01 	16.67 	15.25 	10.42 	11.37 
A,ENV,MIO_EUR,Q86,DE	333.36 	309.22 	325.39 	466.26 	507.66 	493.37 	936.07 be	946.68 e	991.72 e	675.81 e	516.35 bep
A,ENV,MIO_EUR,Q86,DK	94.07 	99.03 	86.49 	93.26 	95.36 	81.12 	56.47 	52.33 	44.29 	66.29 p	37.98 p
A,ENV,MIO_EUR,Q86,EE	1.5 	1.52 	1.79 	1.96 	2.01 	1.91 	2.04 	1.53 	1.74 	1.74 	1.7 
A,ENV,MIO_EUR,Q86,EL	54.09 	53.05 	56.45 	48.7 	44.22 	42.05 	44.16 	46.56 	58.73 	29.77 	31.13 
A,ENV,MIO_EUR,Q86,ES	72.31 	72.72 	88.14 	85.11 	89.87 	89.36 	80.85 	83.86 	80.03 	47.5 	57 
A,ENV,MIO_EUR,Q86,EU27_2020	1826.15 	1981.2 	2035.27 	2380.84 	2589.15 	2661.62 	3133.81 	3180.09 	3124.34 	2424.28 	2387.2 
A,ENV,MIO_EUR,Q86,FI	41.21 	38.23 	17.21 b	22.04 b	25.32 	30.37 	26.94 	26.14 	50.55 	49.87 	44.52 
A,ENV,MIO_EUR,Q86,FR	158.26 e	161.96 e	204.1 e	246.75 e	432.79 e	514.88 e	534.32 e	491.61 e	524.44 e	501.93 p	457.85 p
A,ENV,MIO_EUR,Q86,HR	9.56 	10.45 	11.59 	12.17 	12.8 	13.89 	13.85 	12.63 	13.58 	13.99 	15.07 
A,ENV,MIO_EUR,Q86,HU	6.04 	6.1 	7.6 	6.1 	3.44 	1.55 	1.47 	1.59 	1.67 	1.84 	1.77 
A,ENV,MIO_EUR,Q86,IE	8.3 	9.44 	11.03 	12.18 	13.33 	12.56 	9.73 	11.76 	16.64 	15.16 	15.52 
A,ENV,MIO_EUR,Q86,IS	0.45 	0.65 	0.7 	0.72 	0.92 	0.83 	0.74 	: 	: 	: 	: 
A,ENV,MIO_EUR,Q86,IT	584.7 	760.31 	682.14 	817.93 	771.62 	767.48 	787.2 	847.38 	612.14 	377.34 	512.06 p
A,ENV,MIO_EUR,Q86,LT	1.16 	1.47 	1.81 	2.33 	2.19 	0.75 	0.88 	1.49 	1.53 	1.47 	1.76 
A,ENV,MIO_EUR,Q86,LU	1.61 	1.81 	3.4 	3.43 	3.18 	3.94 	5.84 	5.04 	5.56 	2.6 	2.58 
A,ENV,MIO_EUR,Q86,LV	3.85 	4.05 	4.6 	4.83 	5.26 	5.35 	4.44 	4.21 	4.42 	3.81 	3.53 
A,ENV,MIO_EUR,Q86,MK	: 	: 	: 	: 	: 	: 	0.26 	0.31 	0.35 	0.31 	: 
A,ENV,MIO_EUR,Q86,MT	0.54 	0.8 	0.93 	1.12 	1.21 	1.32 	1.51 	1.2 	1.17 	1.12 	1.15 
A,ENV,MIO_EUR,Q86,NL	160 	158 	168 	175 	178 	185 	205 	229 	249 	220 	203 p
A,ENV,MIO_EUR,Q86,NO	22.42 	21.9 	19.67 	18.41 	23.59 	19.28 	18.17 	14.36 	20.76 	30.88 	31.51 
A,ENV,MIO_EUR,Q86,PL	64.45 	62.03 	68.13 	67.79 	69.18 	71.16 	65.69 	49.82 	80.69 	72.25 	99.87 
A,ENV,MIO_EUR,Q86,PT	41.51 	46.18 	51.62 	45.6 	44.86 	47.59 	48.77 	48.31 	45.65 	39.29 	44.11 
A,ENV,MIO_EUR,Q86,RO	8.3 	10.02 	10.45 	10.73 	10.32 	11.7 	10.59 	10.72 	11.74 	11.07 	11.15 
A,ENV,MIO_EUR,Q86,RS	1.81 	1.82 	2.48 	3.29 	3.54 	3.89 	4.26 	4.1 	4.5 	5.07 	5.14 
A,ENV,MIO_EUR,Q86,SE	23.99 	21.24 	28.51 	29.07 	30.85 	30.54 	36.29 	32.86 	21.18 	17.2 	18.77 
A,ENV,MIO_EUR,Q86,SI	1.1 	1.1 	1.36 	1.57 	1.72 	1.78 	1.8 	1.65 	1.76 	1.47 	1.32 
A,ENV,MIO_EUR,Q86,SK	10.26 	12.22 	10.73 	8.81 	7.47 	13.24 	13.18 	8.34 	8.73 	7.21 p	7.03 ep
A,ENV,MIO_EUR,Q86,TR	25.41 	24.62 	28.21 	27.6 	24.75 	19.72 	21.36 	19.65 	15.4 	18.11 	26.36 
A,ENV,MIO_EUR,R93,AT	6.13 	6.19 	6.65 	6.4 	8.92 	10.17 	9.89 	8.42 	11.29 	6.07 	5.97 
A,ENV,MIO_EUR,R93,BE	16.03 	16.9 	20.36 	22.89 	27.04 	27.04 	28.95 	34.88 	35.77 	31.55 e	32.41 e
A,ENV,MIO_EUR,R93,BG	0.64 	0.68 	0.82 	0.85 	0.92 	0.92 	0.93 	0.68 	0.86 	0.75 	0.93 
A,ENV,MIO_EUR,R93,CH	29.64 	32.89 	44.9 	44.68 	46.2 	50.5 	53.11 	56.21 	57.21 	63.23 	65.61 p
A,ENV,MIO_EUR,R93,CY	0.91 	0.85 	1.07 	1.12 	1.54 	1.63 	2.68 	2.33 	2.46 	2.53 	2.69 
A,ENV,MIO_EUR,R93,CZ	4.2 	4.07 	4.84 	5.55 	5.58 	6.04 	6.23 	6.16 	5.97 	4.64 	5.42 
A,ENV,MIO_EUR,R93,DE	124.5 	116.42 	123.2 	103.34 	111.38 	108.16 	44.34 be	41.7 e	49.21 e	40.75 e	29.16 bep
A,ENV,MIO_EUR,R93,DK	28.24 	29.4 	28.04 	30.09 	29.3 	26.1 	18.98 	16.8 	13.49 	20.46 p	14.71 p
A,ENV,MIO_EUR,R93,EE	1.34 	1.46 	1.96 	2.17 	2.12 	2.02 	2.57 	1.7 	2.1 	1.95 	1.94 
A,ENV,MIO_EUR,R93,EL	32.56 	23.81 	23.14 	20.77 	26.11 	25.04 	25.56 	17.94 	19.18 	24.14 	21.12 
A,ENV,MIO_EUR,R93,ES	31.67 	31.1 	38.9 	38.23 	40.9 	41.91 	39.13 	27.08 	36.89 	26.91 	24.88 
A,ENV,MIO_EUR,R93,EU27_2020	612.47 	603.22 	650.07 	: @C	: @C	881.06 	917.54 	751.21 	795.32 	711.18 	743.31 
A,ENV,MIO_EUR,R93,FI	33.17 	31.37 	29.96 b	38.13 b	33.26 	29.9 	30.29 	29.62 	31.73 	30.97 	31.38 
A,ENV,MIO_EUR,R93,FR	44.66 e	46.35 e	64.7 e	84.64 e	221.32 e	247.45 e	252.31 e	209.92 e	226.01 e	220.46 p	203.67 p
A,ENV,MIO_EUR,R93,HR	2.18 	2.39 	2.63 	2.76 	2.92 	3.01 	3.07 	2.53 	2.9 	2.93 	3.3 
A,ENV,MIO_EUR,R93,HU	0.4 	0.43 	0.43 	0.35 	3.12 	1.56 	1.9 	1.7 	1.78 	1.43 	1.55 
A,ENV,MIO_EUR,R93,IE	5.77 	6.05 	7.7 	9.15 	9.43 	12.69 	9.29 	8.05 	9.97 	7.21 	7.35 
A,ENV,MIO_EUR,R93,IS	0.21 	0.25 	0.26 	0.34 	0.45 	0.51 	0.39 	: 	: 	: 	: 
A,ENV,MIO_EUR,R93,IT	102.72 	106.75 	97.01 	98.37 	97.96 	105.55 	203.97 b	138.58 	127.59 	56.25 	102.51 p
A,ENV,MIO_EUR,R93,LT	0.41 	0.55 	0.67 	: @C	: @C	0.63 	0.61 	0.67 	0.78 	0.75 	0.81 
A,ENV,MIO_EUR,R93,LU	0.33 	0.4 	0.42 	0.54 	0.46 	0.74 	0.65 	0.34 	0.42 	0.43 	0.39 
A,ENV,MIO_EUR,R93,LV	1.32 	1.35 	1.57 	1.61 	1.59 	1.76 	1.35 	0.95 	0.9 	0.66 	0.63 
A,ENV,MIO_EUR,R93,MK	: 	: 	: 	: 	: 	: 	0.06 	0.1 	0.12 	0.06 	: 
A,ENV,MIO_EUR,R93,MT	0.14 	0.14 	0.14 	0.18 	0.16 	0.22 	0.17 	0.14 	0.14 	0.14 	0.14 
A,ENV,MIO_EUR,R93,NL	127 	128 	134 	148 	151 	160 	162 	139 	140 	170 	168 p
A,ENV,MIO_EUR,R93,NO	8.97 	8.62 	7.93 	8.61 	10.61 	11.57 	9.64 	9.14 	14.27 	10.59 	10.07 
A,ENV,MIO_EUR,R93,PL	13.07 	15.33 	16.13 	17.01 	20.12 	23.03 	14.39 	14.45 	23.08 	21.22 	38.44 
A,ENV,MIO_EUR,R93,PT	8.26 	9.72 	10.41 	12.2 	11.86 	12.14 	12.94 	10.92 	12.06 	12.21 	13.72 
A,ENV,MIO_EUR,R93,RO	0.81 	1.11 	0.76 	1.03 	0.93 	0.82 	0.85 	0.85 	0.83 	1.46 	1.54 
A,ENV,MIO_EUR,R93,RS	0.21 	0.2 	0.29 	0.34 	0.48 	0.48 	0.51 	0.43 	0.51 	0.58 	0.59 
A,ENV,MIO_EUR,R93,SE	22.49 	19.41 	30.92 	30.33 	30.66 	28.8 	38.44 	32.02 	33.87 	22.7 	28.15 
A,ENV,MIO_EUR,R93,SI	0.54 	0.55 	0.71 	0.75 	0.69 	0.71 	0.76 	0.76 	0.74 	0.69 	0.67 
A,ENV,MIO_EUR,R93,SK	3 	2.46 	2.93 	2.9 	2.52 	3.02 	5.3 	3.04 	5.29 	1.94 p	1.82 ep
A,ENV,MIO_EUR,R93,TR	9.4 	8.57 	9.18 	9.2 	8.18 	5.62 	5.98 	5.04 	3.16 	3.7 	5.62 
A,ENV,MIO_EUR,S94,AT	4.78 	4.49 	4.98 	4.87 	4.91 	5.02 	5.83 	5.67 	6.69 	8.29 	6.55 
A,ENV,MIO_EUR,S94,BE	11.18 	10.38 	9.14 	10.99 	13.11 	11.9 	12.25 	14.59 	16.46 	14.76 e	16.08 e
A,ENV,MIO_EUR,S94,BG	0.11 	0.24 	0.26 	0.23 	0.21 	0.26 	0.21 	0.18 	0.2 	0.78 	0.2 
A,ENV,MIO_EUR,S94,CH	16.72 	16.1 	20.2 	20.74 	19.17 	21.33 	21.93 	19.23 	21.2 	23.02 	25.35 p
A,ENV,MIO_EUR,S94,CY	0.59 	0.58 	0.67 	0.58 	0.69 	0.72 	0.71 	0.76 	0.58 	0.51 	0.54 
A,ENV,MIO_EUR,S94,CZ	1.54 	1.49 	1.76 	2.03 	2.05 	2.34 	2.38 	2.72 	2.57 	1.95 	2.21 
A,ENV,MIO_EUR,S94,DE	280.21 	263.86 	271.76 	399.52 	412.05 	405.39 	824.5 be	816.16 e	824.1 e	692.08 e	690.44 bep
A,ENV,MIO_EUR,S94,DK	12.9 	12.42 	12.26 	11.47 	11.47 	12.91 	9.64 	8.86 	8.23 	9.73 p	6.75 p
A,ENV,MIO_EUR,S94,EE	1.04 	1.09 	1.04 	1.04 	1.22 	1.1 	1.27 	1.02 	2.23 	2.25 	1.31 
A,ENV,MIO_EUR,S94,EL	28.94 	29.1 	39.56 	32.49 	33.04 	27.73 	26.05 	25.73 	26.7 	25.55 	23.04 
A,ENV,MIO_EUR,S94,ES	15.92 	16.1 	16.83 	20.13 	22.2 	21.47 	20.16 	21.17 	25.39 	26.31 	24.46 
A,ENV,MIO_EUR,S94,EU27_2020	653.46 	651.4 	667.76 	: 	: 	: 	: 	: 	: 	: 	: 
A,ENV,MIO_EUR,S94,FI	43.65 	44.05 	38.11 b	49.25 b	47.53 	56.37 	54.51 	53.69 	47.69 	48.79 	38.75 
A,ENV,MIO_EUR,S94,FR	42.07 e	43.55 e	51 e	59.48 e	95.26 e	105.18 e	107.63 e	88.4 e	96.63 e	97.6 p	88.52 p
A,ENV,MIO_EUR,S94,HR	0.88 	1 	1.1 	1.14 	1.21 	1.27 	1.28 	1.05 	1.21 	1.19 	1.34 
A,ENV,MIO_EUR,S94,HU	1.54 	1.42 	1.43 	1.55 	1.44 	0.92 	0.98 	0.93 	0.93 	0.94 	1.03 
A,ENV,MIO_EUR,S94,IE	1 	1.07 	1.08 	2.26 	3.16 	2.8 	3.06 	1.88 	1.98 	2.07 	2.1 
A,ENV,MIO_EUR,S94,IS	0.27 	0.35 	0.48 	0.87 	1.11 	0.49 	0.51 	: 	: 	: 	: 
A,ENV,MIO_EUR,S94,IT	69.8 	80.27 	75.62 	76.41 	71.79 	68.95 	68.08 	49.03 	46.25 	22.27 	38.44 p
A,ENV,MIO_EUR,S94,LT	0.24 	0.51 	0.7 	0.63 	0.63 	0.41 	0.63 	0.69 	0.55 	0.52 	0.56 
A,ENV,MIO_EUR,S94,LU	0.32 	0.35 	0.33 	0.35 	0.38 	0.06 	0.47 	0.44 	0.5 	0.75 	0.85 
A,ENV,MIO_EUR,S94,LV	0.07 	0.79 	0.92 	0.98 	0.94 	1.03 	0.74 	0.72 	0.77 	0.33 	0.31 
A,ENV,MIO_EUR,S94,MK	: 	: 	: 	: 	: 	: 	0 	0.07 	: 	0.07 	: 
A,ENV,MIO_EUR,S94,MT	0.06 	0.08 	0.07 	0.09 	0.13 	0.12 	0.15 	0.12 	0.12 	0.12 	0.12 
A,ENV,MIO_EUR,S94,NL	98 	104 	105 	115 	118 	120 	122 	122 	130 	101 	104 p
A,ENV,MIO_EUR,S94,NO	10.38 	10.05 	9.05 	11.95 	13.4 	13.02 	11.88 	9.14 	10.33 	9.6 	9.72 
A,ENV,MIO_EUR,S94,PL	15.47 	13.75 	14.65 	13.86 	15.78 	16.64 	15.52 	13.76 	19.98 	18.87 	27.64 
A,ENV,MIO_EUR,S94,PT	8.18 	7.23 	7.77 	9.25 	8.4 	8.83 	8.87 	7.26 	7.3 	6.95 	7.89 
A,ENV,MIO_EUR,S94,RO	2.04 	1.69 	1.95 	1.72 	1.31 	1.31 	0.29 	1.26 	1.87 	1.38 	1.5 
A,ENV,MIO_EUR,S94,RS	0.6 	0.72 	0.75 	0.76 	0.93 	1 	1.04 	1.03 	1.07 	1.21 	1.22 
A,ENV,MIO_EUR,S94,SE	6.05 	5.22 	2.45 	3.01 	2.96 	3.16 	3.68 	3.3 	3.61 	3.44 	3.35 
A,ENV,MIO_EUR,S94,SI	0.24 	0.24 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 
A,ENV,MIO_EUR,S94,SK	6.64 	6.44 	7.02 	7.13 	10 	7.73 	3.56 	0.81 	0.3 	0.5 p	0.4 ep
A,ENV,MIO_EUR,S94,TR	13.15 	13.05 	14.12 	14.12 	12.6 	8.56 	8.34 	8.47 	6.9 	8.12 	13.2 
A,ENV,MIO_EUR,S95,AT	1.22 	1.24 	1.06 	0.7 	0.89 	1.7 	1.06 	0.9 	1.27 	0.81 	0.92 
A,ENV,MIO_EUR,S95,BE	9.19 	6.26 	4.1 	4.64 	4.76 	4.77 	5.04 	7.99 	8.52 	7.88 e	9.62 e
A,ENV,MIO_EUR,S95,BG	0.1 	0.14 	0.14 	0.17 	0.16 	0.15 	0.14 	0.14 	0.16 	0.04 	0.16 
A,ENV,MIO_EUR,S95,CH	2.34 	2.45 	3.02 	2.5 	2.17 	2.03 	2.21 	2.11 	2.1 	2.66 	2.85 p
A,ENV,MIO_EUR,S95,CY	0.15 	0.23 	0.26 	0.23 	0.28 	0.33 	0.29 	0.23 	0.37 	0.22 	0.24 
A,ENV,MIO_EUR,S95,CZ	0.69 	0.84 	0.88 	0.89 	0.91 	0.9 	0.74 	0.98 	1.17 	0.69 	0.67 
A,ENV,MIO_EUR,S95,DE	19.86 	18.37 	19.37 	21.95 	21.46 	20.6 	42.46 be	40.59 e	44.23 e	38.58 e	38.9 bep
A,ENV,MIO_EUR,S95,DK	7.43 	7.29 	7.18 	6.54 	6.58 	6.31 	6.8 	7.96 	7.74 	7.08 p	6.59 p
A,ENV,MIO_EUR,S95,EE	0.18 	0.18 	0.18 	0.21 	0.24 	0.25 	0.28 	0.15 	0.18 	0.18 	0.17 
A,ENV,MIO_EUR,S95,EL	6.73 	5.9 	5.32 	5.25 	4.68 	4.47 	5.4 	3 	4.07 	4.24 	4.81 
A,ENV,MIO_EUR,S95,ES	8.23 	8.64 	9.94 	9.64 	10.48 	10.1 	9.48 	7.63 	8.67 	8.51 	7.31 
A,ENV,MIO_EUR,S95,FI	2.61 	2.22 	1.41 b	1.4 b	0.72 	0.46 	0.43 	0.42 	0.42 	0.4 	0.47 
A,ENV,MIO_EUR,S95,FR	21.89 e	22.34 e	25.44 e	27.31 e	34.24 e	39.04 e	39.13 e	35.81 e	38.09 e	36.61 p	33.48 p
A,ENV,MIO_EUR,S95,HR	0.43 	0.46 	0.5 	0.53 	0.56 	0.59 	0.6 	0.48 	0.56 	0.61 	0.78 
A,ENV,MIO_EUR,S95,HU	1.92 	2.05 	2.43 	1.7 	1.15 	0.85 	0.74 	0.64 	0.67 	0.59 	0.66 
A,ENV,MIO_EUR,S95,IE	0.63 	0.96 	0.47 	0.76 	0.69 	1.09 	0.18 	0.17 	0.23 	0.5 	0.51 
A,ENV,MIO_EUR,S95,IS	0.03 	0.05 	0.05 	0.08 	0.09 	0.1 	0.08 	: 	: 	: 	: 
A,ENV,MIO_EUR,S95,IT	57.56 	60.37 	55.66 	56.18 	53.16 	51.53 	51.12 	40.4 	42.61 	24.36 	35.33 p
A,ENV,MIO_EUR,S95,LT	0.07 	0.09 	0.1 	0.14 	0.14 	0.14 	0.15 	0.26 	0.19 	0.18 	0.2 
