freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,ENV,MIO_EUR,A01,DK	228.38 	248.28 	254.96 	246.95 	224.78 	216.98 	207.88 	211.27 	211.37 	214.46 p	205.04 p
A,ENV,MIO_EUR,A01,EE	10.98 	11.91 	26.78 	29.22 	24.62 	17.98 	31.49 	21.33 	26.2 	26.6 	25.89 
A,ENV,MIO_EUR,A01,EL	345.34 	353.89 	356.29 	363.21 	372.2 	322.17 	338.8 	370.55 	386.38 	402.41 	382.98 
A,ENV,MIO_EUR,A01,ES	160.54 	151.42 	192.75 	214.62 	236.2 	252.69 	242.39 	240.99 	249.7 	196.16 	213.33 
A,ENV,MIO_EUR,A01,EU27_2020	5699.82 	5872.55 	6442.68 	6486.63 	6810.97 	6648.94 	6318.1 	6498.69 	6495.58 	5506.05 	5901.36 
A,ENV,MIO_EUR,A01,FI	85.95 	73.34 	134.87 b	137.79 b	132.89 	147.37 	127.39 	142.05 	130.83 	89.79 	98.97 
A,ENV,MIO_EUR,A01,FR	631.56 e	636.5 e	670.12 e	636.76 e	690.78 e	754.94 e	659.91 e	812.27 e	675.25 e	669.95 p	627.33 p
A,ENV,MIO_EUR,A01,HR	37.17 	39.75 	43.28 	44.97 	46.32 	48.99 	53.35 	47.63 	52.49 	51.36 	57.37 
A,ENV,MIO_EUR,A01,HU	123.75 	121.25 	135.32 	137.72 	250.58 	145.68 	142.71 	144.53 	136.26 	101.43 	114.39 
A,ENV,MIO_EUR,A01,IE	54.26 	40.22 	45.65 	45.1 	49.75 	53.79 	49.32 	48.79 	53.91 	45.43 	44.2 
A,ENV,MIO_EUR,A01,IS	0.82 	1.71 	1.92 	2.41 	2.88 	2.49 	2.27 	: 	: 	: 	: 
A,ENV,MIO_EUR,A01,IT	1038.01 	1066.08 	1184.37 	1208.16 	1233 	1211.74 	1216.86 	1222.78 	1180.08 	757.34 	1073.78 p
A,ENV,MIO_EUR,A01,LT	11.65 	24.01 	26.06 	27.16 	26.54 	27.55 	28.16 	26.92 	30.92 	29 	30.7 
A,ENV,MIO_EUR,A01,LU	0.12 	0.09 	0.19 	0.21 	0.11 	0.2 	0.21 	0.22 	0.31 	0.36 	0.33 
A,ENV,MIO_EUR,A01,LV	21.34 	21.07 	37.97 	40.93 	16.43 	17.06 	11.69 	12.24 	10.4 	8.58 	7.78 
A,ENV,MIO_EUR,A01,MK	: 	: 	: 	: 	: 	: 	27.02 	25.51 	21.99 	15.82 	: 
A,ENV,MIO_EUR,A01,MT	0.9 	0.95 	0.97 	1.72 	1.49 	1.61 	1.77 	1.52 	1.45 	1.43 	1.54 
A,ENV,MIO_EUR,A01,NL	494 	664 	668 	703 	734 	751 	777 	802 	830 	758 	744 p
A,ENV,MIO_EUR,A01,NO	54.57 	60.69 	60 	61.57 	69.37 	71.79 	73.29 	68.45 	73.6 	81.76 	53.48 
A,ENV,MIO_EUR,A01,PL	426.11 	476.12 	507.84 	466.91 	469.93 	410.22 	407.06 	369.37 	485.22 	458.43 	541.89 
A,ENV,MIO_EUR,A01,PT	69.47 	64.08 	69.77 	99.92 	102.44 	101.92 	104.76 	107.66 	113.28 	88.06 	99.78 
A,ENV,MIO_EUR,A01,RO	32.17 	40.58 	37.35 	41.12 	45.41 	46.79 	49.84 	49.11 	51.72 	52.38 	51.6 
A,ENV,MIO_EUR,A01,RS	22.32 	20.2 	21.34 	20.84 	22.12 	21.23 	20.6 	18.52 	16.31 	16.94 	18.77 
A,ENV,MIO_EUR,A01,SE	212.2 	183.99 	197.19 	184.34 	180.17 	162.95 	159.5 	146.71 	156.18 	120.7 	86.54 
A,ENV,MIO_EUR,A01,SI	3.12 	3.14 	3.94 	4.87 	5.05 	5.01 	5.02 	4.52 	4.88 	3.96 	3.45 
A,ENV,MIO_EUR,A01,SK	84.35 	90.26 	80.08 	70.42 	66.91 	85.58 	77.97 	81.23 	71.31 	74.19 p	78.02 ep
A,ENV,MIO_EUR,A01,TR	1008.07 	888.25 	952.09 	954 	874.51 	553.2 	544.72 	491.68 	180.5 	265.41 	406.27 
A,ENV,MIO_EUR,A02,AT	4.22 	4.09 	3.88 	3.98 	4.18 	19.2 	19.68 	16.35 	20.76 	20.65 	23.15 
A,ENV,MIO_EUR,A02,BE	2.64 	9.96 	18.77 	32.71 	37.87 	35.48 	36.25 	13.24 	20.21 	18.7 e	23.22 e
A,ENV,MIO_EUR,A02,BG	5.82 	4.94 	5.68 	5.35 	5.4 	5.55 	5.89 	5.41 	5.48 	5.34 	5.79 
A,ENV,MIO_EUR,A02,CH	12.68 	14.13 	17.01 	16.55 	17.1 	16.56 	17.21 	16.88 	17.44 	20.74 	23.56 p
A,ENV,MIO_EUR,A02,CY	0.2 	0.21 	0.25 	0.25 	0.25 	0.27 	0.25 	0.26 	0.24 	0.18 	0.2 
A,ENV,MIO_EUR,A02,CZ	11.59 	11 	12.87 	12.84 	12.61 	13.65 	15.66 	19.43 	17.9 	13.96 	14.12 
A,ENV,MIO_EUR,A02,DE	52.92 	45.79 	50.6 	82.89 	82.14 	76.32 	171.45 be	189.86 e	202.85 e	157.3 e	160.44 bep
